2019-11-12 20:37:01.622 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.nsapi.niceschoolapi.NiceschoolapiApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-11-12 20:37:01.626 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.nsapi.niceschoolapi.NiceschoolapiApplicationTests]: NiceschoolapiApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-11-12 20:37:02.038 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.nsapi.niceschoolapi.NiceschoolapiApplication for test class com.nsapi.niceschoolapi.NiceschoolapiApplicationTests
2019-11-12 20:37:02.460 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-11-12 20:37:02.540 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@32502377, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2c1b194a, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4dbb42b7, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@66f57048, org.springframework.test.context.support.DirtiesContextTestExecutionListener@550dbc7a, org.springframework.test.context.transaction.TransactionalTestExecutionListener@21282ed8, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@36916eb0, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7bab3f1a, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@437da279, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@23c30a20, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1e1a0406, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3cebbb30]
2019-11-12 20:40:41.254 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.nsapi.niceschoolapi.NiceschoolapiApplicationTests], using SpringBootContextLoader
2019-11-12 20:40:41.280 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.nsapi.niceschoolapi.NiceschoolapiApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-11-12 20:40:41.283 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.nsapi.niceschoolapi.NiceschoolapiApplicationTests]: NiceschoolapiApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-11-12 20:40:41.708 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.nsapi.niceschoolapi.NiceschoolapiApplication for test class com.nsapi.niceschoolapi.NiceschoolapiApplicationTests
2019-11-12 20:40:42.125 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
